Time[s], 通道 0, 通道 1, 通道 2, 通道 3
0.00000000, 0, 0, 1, 0
0.00149380, 0, 0, 1, 1
0.00150091, 0, 0, 1, 0
0.00150419, 0, 0, 0, 0
0.00150614, 1, 0, 0, 0
0.00150622, 0, 0, 0, 0
0.00150624, 0, 1, 0, 0
0.00150632, 1, 1, 0, 0
0.00150641, 0, 0, 0, 0
0.00150651, 1, 0, 0, 0
0.00150659, 0, 0, 0, 0
0.00150660, 0, 1, 0, 0
0.00150669, 1, 1, 0, 0
0.00150678, 0, 0, 0, 0
0.00150688, 1, 0, 0, 0
0.00150696, 0, 0, 0, 0
0.00150697, 0, 1, 0, 0
0.00150706, 1, 1, 0, 0
0.00150715, 0, 0, 0, 0
0.00150725, 1, 0, 0, 0
0.00150734, 0, 1, 0, 0
0.00150743, 1, 1, 0, 0
0.00150752, 0, 1, 0, 0
0.00150762, 1, 1, 0, 0
0.00150771, 0, 0, 0, 0
0.00150780, 1, 0, 0, 0
0.00150789, 0, 0, 0, 0
0.00150790, 0, 1, 0, 0
0.00150799, 1, 1, 0, 0
0.00150808, 0, 0, 0, 0
0.00150817, 1, 0, 0, 0
0.00150826, 0, 1, 0, 0
0.00150836, 1, 1, 0, 0
0.00150845, 0, 0, 0, 0
0.00150854, 1, 0, 0, 0
0.00150863, 0, 0, 0, 0
0.00150864, 0, 1, 0, 0
0.00150873, 1, 1, 0, 0
0.00150882, 0, 0, 0, 0
0.00150891, 1, 0, 0, 0
0.00150900, 0, 0, 0, 0
0.00150910, 1, 0, 0, 0
0.00150919, 0, 0, 0, 0
0.00150928, 1, 0, 0, 0
0.00150937, 0, 0, 0, 0
0.00150938, 0, 1, 0, 0
0.00150947, 1, 1, 0, 0
0.00150956, 0, 0, 0, 0
0.00150965, 1, 0, 0, 0
0.00150974, 0, 0, 0, 0
0.00150975, 0, 1, 0, 0
0.00150984, 1, 1, 0, 0
0.00150993, 0, 1, 0, 0
0.00151002, 1, 1, 0, 0
0.00151011, 0, 0, 0, 0
0.00151021, 1, 0, 0, 0
0.00151030, 0, 1, 0, 0
0.00151039, 1, 1, 0, 0
0.00151049, 0, 1, 0, 0
0.00151058, 1, 1, 0, 0
0.00151067, 0, 1, 0, 0
0.00151076, 1, 1, 0, 0
0.00151086, 0, 1, 0, 0
0.00151095, 1, 1, 0, 0
0.00151104, 0, 1, 0, 0
0.00151105, 0, 0, 0, 0
0.00151114, 1, 0, 0, 0
0.00151123, 0, 0, 0, 0
0.00151132, 1, 0, 0, 0
0.00151141, 0, 1, 0, 0
0.00151150, 1, 1, 0, 0
0.00151160, 0, 0, 0, 0
0.00151169, 1, 0, 0, 0
0.00151178, 0, 0, 0, 0
0.00151188, 1, 0, 0, 0
0.00151197, 0, 0, 0, 0
0.00151206, 1, 0, 0, 0
0.00151215, 0, 0, 0, 0
0.00151225, 1, 0, 0, 0
0.00151234, 0, 0, 0, 0
0.00151243, 1, 0, 0, 0
0.00151252, 0, 0, 0, 0
0.00151262, 1, 0, 0, 0
0.00151271, 0, 0, 0, 0
0.00151280, 1, 0, 0, 0
0.00151289, 0, 0, 0, 0
0.00151299, 1, 0, 0, 0
0.00151308, 0, 0, 0, 0
0.00151317, 1, 0, 0, 0
0.00151326, 0, 0, 0, 0
0.00151327, 0, 1, 0, 0
0.00151336, 1, 1, 0, 0
0.00151345, 0, 1, 0, 0
0.00151354, 1, 1, 0, 0
0.00151363, 0, 1, 0, 0
0.00151373, 1, 1, 0, 0
0.00151382, 0, 1, 0, 0
0.00151391, 1, 1, 0, 0
0.00151400, 0, 1, 0, 0
0.00151410, 1, 1, 0, 0
0.00151419, 0, 1, 0, 0
0.00151428, 1, 1, 0, 0
0.00151437, 0, 1, 0, 0
0.00151447, 1, 1, 0, 0
0.00151456, 0, 1, 0, 0
0.00151465, 1, 1, 0, 0
0.00151474, 0, 1, 0, 0
0.00151484, 1, 1, 0, 0
0.00151493, 0, 1, 0, 0
0.00151494, 0, 0, 0, 0
0.00151502, 1, 0, 0, 0
0.00151511, 0, 0, 0, 0
0.00151521, 1, 0, 0, 0
0.00151530, 0, 0, 0, 0
0.00151539, 1, 0, 0, 0
0.00151548, 0, 0, 0, 0
0.00151549, 0, 1, 0, 0
0.00151558, 1, 1, 0, 0
0.00151567, 0, 0, 0, 0
0.00151576, 1, 0, 0, 0
0.00151586, 0, 1, 0, 0
0.00151595, 1, 1, 0, 0
0.00151604, 0, 0, 0, 0
0.00151614, 1, 0, 0, 0
0.00151623, 0, 0, 0, 0
0.00151632, 1, 0, 0, 0
0.00151641, 0, 0, 0, 0
0.00151651, 1, 0, 0, 0
0.00151660, 0, 0, 0, 0
0.00151669, 1, 0, 0, 0
0.00151678, 0, 0, 0, 0
0.00151688, 1, 0, 0, 0
0.00151697, 0, 0, 0, 0
0.00151706, 1, 0, 0, 0
0.00151715, 0, 0, 0, 0
0.00151725, 1, 0, 0, 0
0.00151734, 0, 0, 0, 0
0.00151743, 1, 0, 0, 0
0.00151752, 0, 0, 0, 0
0.00151762, 1, 0, 0, 0
0.00151771, 0, 0, 0, 0
0.00151780, 1, 0, 0, 0
0.00151789, 0, 0, 0, 0
0.00151799, 1, 0, 0, 0
0.00151808, 0, 0, 0, 0
0.00151817, 1, 0, 0, 0
0.00151826, 0, 0, 0, 0
0.00151836, 1, 0, 0, 0
0.00151845, 0, 0, 0, 0
0.00151846, 0, 1, 0, 0
0.00151854, 1, 1, 0, 0
0.00151863, 0, 0, 0, 0
0.00151873, 1, 0, 0, 0
0.00151882, 0, 0, 0, 0
0.00151883, 0, 1, 0, 0
0.00151891, 1, 1, 0, 0
0.00151900, 0, 0, 0, 0
0.00151910, 1, 0, 0, 0
0.00151919, 0, 0, 0, 0
0.00151928, 1, 0, 0, 0
0.00151937, 0, 0, 0, 0
0.00151947, 1, 0, 0, 0
0.00151956, 0, 0, 0, 0
0.00151965, 1, 0, 0, 0
0.00151974, 0, 0, 0, 0
0.00151984, 1, 0, 0, 0
0.00151993, 0, 0, 0, 0
0.00152002, 1, 0, 0, 0
0.00152011, 0, 0, 0, 0
0.00152021, 1, 0, 0, 0
0.00152030, 0, 0, 0, 0
0.00152039, 1, 0, 0, 0
0.00152048, 0, 0, 0, 0
0.00152058, 1, 0, 0, 0
0.00152067, 0, 0, 0, 0
0.00152076, 1, 0, 0, 0
0.00152086, 0, 0, 0, 0
0.00152095, 1, 0, 0, 0
0.00152104, 0, 0, 0, 0
0.00152113, 1, 0, 0, 0
0.00152123, 0, 0, 0, 0
0.00152132, 1, 0, 0, 0
0.00152141, 0, 0, 0, 0
0.00152142, 0, 1, 0, 0
0.00152150, 1, 1, 0, 0
0.00152160, 0, 0, 0, 0
0.00152169, 1, 0, 0, 0
0.00152178, 0, 0, 0, 0
0.00152179, 0, 1, 0, 0
0.00152187, 1, 1, 0, 0
0.00152196, 1, 0, 0, 0
0.00152197, 0, 0, 0, 0
0.00152206, 1, 0, 0, 0
0.00152215, 0, 0, 0, 0
0.00152225, 1, 0, 0, 0
0.00152234, 0, 0, 0, 0
0.00152243, 1, 0, 0, 0
0.00152252, 0, 0, 0, 0
0.00152262, 1, 0, 0, 0
0.00152271, 0, 0, 0, 0
0.00152280, 1, 0, 0, 0
0.00152289, 0, 0, 0, 0
0.00152299, 1, 0, 0, 0
0.00152308, 0, 0, 0, 0
0.00152317, 1, 0, 0, 0
0.00152326, 0, 0, 0, 0
0.00152336, 1, 0, 0, 0
0.00152345, 0, 0, 0, 0
0.00152354, 1, 0, 0, 0
0.00152363, 0, 0, 0, 0
0.00152373, 1, 0, 0, 0
0.00152382, 0, 0, 0, 0
0.00152391, 1, 0, 0, 0
0.00152400, 0, 0, 0, 0
0.00152410, 1, 0, 0, 0
0.00152419, 0, 0, 0, 0
0.00152428, 1, 0, 0, 0
0.00152437, 0, 0, 0, 0
0.00152438, 0, 1, 0, 0
0.00152447, 1, 1, 0, 0
0.00152456, 0, 0, 0, 0
0.00152465, 1, 0, 0, 0
0.00152474, 0, 0, 0, 0
0.00152475, 0, 1, 0, 0
0.00152484, 1, 1, 0, 0
0.00152493, 0, 0, 0, 0
0.00152502, 1, 0, 0, 0
0.00152511, 0, 0, 0, 0
0.00152521, 1, 0, 0, 0
0.00152530, 0, 0, 0, 0
0.00152539, 1, 0, 0, 0
0.00152548, 0, 0, 0, 0
0.00152558, 1, 0, 0, 0
0.00152567, 0, 0, 0, 0
0.00152576, 1, 0, 0, 0
0.00152586, 0, 0, 0, 0
0.00152595, 1, 0, 0, 0
0.00152604, 0, 0, 0, 0
0.00152613, 1, 0, 0, 0
0.00152623, 0, 0, 0, 0
0.00152632, 1, 0, 0, 0
0.00152641, 0, 0, 0, 0
0.00152651, 1, 0, 0, 0
0.00152660, 0, 0, 0, 0
0.00152669, 1, 0, 0, 0
0.00152678, 0, 0, 0, 0
0.00152688, 1, 0, 0, 0
0.00152697, 0, 0, 0, 0
0.00152706, 1, 0, 0, 0
0.00152715, 0, 0, 0, 0
0.00152725, 1, 0, 0, 0
0.00152734, 0, 0, 0, 0
0.00152735, 0, 1, 0, 0
0.00152743, 1, 1, 0, 0
0.00152752, 0, 0, 0, 0
0.00152762, 1, 0, 0, 0
0.00152771, 0, 1, 0, 0
0.00152780, 1, 1, 0, 0
0.00152789, 0, 0, 0, 0
0.00152799, 1, 0, 0, 0
0.00152808, 0, 0, 0, 0
