Time[s], 通道 0, 通道 1, 通道 2, 通道 3
0.00000000, 0, 0, 0, 0
0.00000003, 1, 0, 0, 0
0.00000017, 0, 0, 0, 0
0.00000031, 1, 0, 0, 0
0.00000045, 0, 0, 0, 0
0.00000059, 1, 0, 0, 0
0.00000072, 0, 0, 0, 0
0.00000087, 1, 0, 0, 0
0.00000100, 0, 0, 0, 0
0.00000114, 1, 0, 0, 0
0.00000128, 0, 0, 0, 0
0.00000129, 0, 1, 0, 0
0.00000142, 1, 1, 0, 0
0.00000156, 0, 1, 0, 0
0.00000170, 1, 1, 0, 0
0.00000184, 0, 1, 0, 0
0.00000198, 1, 1, 0, 0
0.00000211, 0, 1, 0, 0
0.00000225, 1, 1, 0, 0
0.00000239, 0, 1, 0, 0
0.00000253, 1, 1, 0, 0
0.00000267, 0, 0, 0, 0
0.00000281, 1, 0, 0, 0
0.00000295, 0, 1, 0, 0
0.00000309, 1, 1, 0, 0
0.00000322, 0, 1, 0, 0
0.00000323, 0, 0, 0, 0
0.00000337, 1, 0, 0, 0
0.00000350, 0, 1, 0, 0
0.00000364, 1, 1, 0, 0
0.00000378, 0, 0, 0, 0
0.00000392, 1, 0, 0, 0
0.00000406, 0, 1, 0, 0
0.00000420, 1, 1, 0, 0
0.00000433, 0, 1, 0, 0
0.00000434, 0, 0, 0, 0
0.00000448, 1, 0, 0, 0
0.00000461, 0, 0, 0, 0
0.00000476, 1, 0, 0, 0
0.00000489, 0, 0, 0, 0
0.00000503, 1, 0, 0, 0
0.00000517, 0, 0, 0, 0
0.00000531, 1, 0, 0, 0
0.00000545, 0, 0, 0, 0
0.00000559, 1, 0, 0, 0
0.00000572, 0, 0, 0, 0
0.00000573, 0, 1, 0, 0
0.00000586, 1, 1, 0, 0
0.00000600, 0, 1, 0, 0
0.00000614, 1, 1, 0, 0
0.00000628, 0, 1, 0, 0
0.00000642, 1, 1, 0, 0
0.00000656, 0, 1, 0, 0
0.00000670, 1, 1, 0, 0
0.00000684, 0, 1, 0, 0
0.00000698, 1, 1, 0, 0
0.00000711, 0, 0, 0, 0
0.00000726, 1, 0, 0, 0
0.00000739, 0, 1, 0, 0
0.00000753, 1, 1, 0, 0
0.00000767, 0, 0, 0, 0
0.00000781, 1, 0, 0, 0
0.00000795, 0, 1, 0, 0
0.00000809, 1, 1, 0, 0
0.00000822, 0, 0, 0, 0
0.00000837, 1, 0, 0, 0
0.00000850, 0, 1, 0, 0
0.00000864, 1, 1, 0, 0
0.00000878, 0, 0, 0, 0
0.00000892, 1, 0, 0, 0
0.00000906, 0, 0, 0, 0
0.00000920, 1, 0, 0, 0
0.00000933, 0, 0, 0, 0
0.00000948, 1, 0, 0, 0
0.00000961, 0, 0, 0, 0
0.00000976, 1, 0, 0, 0
0.00000989, 0, 0, 0, 0
0.00001003, 1, 0, 0, 0
0.00001017, 0, 1, 0, 0
0.00001031, 1, 1, 0, 0
0.00001045, 0, 1, 0, 0
0.00001059, 1, 1, 0, 0
0.00001072, 0, 1, 0, 0
0.00001086, 1, 1, 0, 0
0.00001100, 0, 1, 0, 0
0.00001114, 1, 1, 0, 0
0.00001128, 0, 1, 0, 0
0.00001142, 1, 1, 0, 0
0.00001156, 0, 0, 0, 0
0.00001170, 1, 0, 0, 0
0.00001183, 0, 0, 0, 0
0.00001198, 1, 0, 0, 0
0.00001211, 0, 0, 0, 0
0.00001226, 1, 0, 0, 0
0.00001239, 0, 1, 0, 0
0.00001253, 1, 1, 0, 0
0.00001267, 0, 0, 0, 0
0.00001281, 1, 0, 0, 0
0.00001295, 0, 0, 0, 0
0.00001309, 1, 0, 0, 0
0.00001322, 0, 0, 0, 0
0.00001337, 1, 0, 0, 0
0.00001350, 0, 0, 0, 0
0.00001364, 1, 0, 0, 0
0.00001378, 0, 0, 0, 0
0.00001379, 0, 1, 0, 0
0.00001392, 1, 1, 0, 0
0.00001406, 0, 1, 0, 0
0.00001420, 1, 1, 0, 0
0.00001434, 0, 1, 0, 0
0.00001448, 1, 1, 0, 0
0.00001461, 0, 0, 0, 0
0.00001476, 1, 0, 0, 0
0.00001489, 0, 0, 0, 0
0.00001503, 1, 0, 0, 0
0.00001517, 0, 0, 0, 0
0.00001531, 1, 0, 0, 0
0.00001545, 0, 0, 0, 0
0.00001559, 1, 0, 0, 0
0.00001572, 0, 0, 0, 0
0.00001587, 1, 0, 0, 0
0.00001600, 0, 0, 0, 0
0.00001614, 1, 0, 0, 0
0.00001628, 0, 0, 0, 0
0.00001642, 1, 0, 0, 0
0.00001656, 0, 0, 0, 0
0.00001670, 1, 0, 0, 0
0.00001683, 0, 0, 0, 0
0.00001698, 1, 0, 0, 0
0.00001711, 0, 0, 0, 0
0.00001726, 1, 0, 0, 0
0.00001739, 0, 0, 0, 0
0.00001753, 1, 0, 0, 0
0.00001767, 0, 0, 0, 0
0.00001781, 1, 0, 0, 0
0.00001795, 0, 0, 0, 0
0.00001809, 1, 0, 0, 0
0.00001823, 0, 1, 0, 0
0.00001836, 1, 1, 0, 0
0.00001850, 0, 1, 0, 0
0.00001864, 1, 1, 0, 0
0.00001878, 0, 1, 0, 0
0.00001892, 1, 1, 0, 0
0.00001906, 0, 0, 0, 0
0.00001920, 1, 0, 0, 0
0.00001933, 0, 0, 0, 0
0.00001948, 1, 0, 0, 0
0.00001961, 0, 0, 0, 0
0.00001976, 1, 0, 0, 0
0.00001989, 0, 0, 0, 0
0.00002003, 1, 0, 0, 0
0.00002017, 0, 0, 0, 0
0.00002031, 1, 0, 0, 0
