Time[s], 通道 0, 通道 1, 通道 2, 通道 3
0.00000000, 0, 0, 1, 0
0.00078981, 0, 0, 1, 1
0.00079692, 0, 0, 1, 0
0.00080020, 0, 0, 0, 0
0.00080216, 1, 0, 0, 0
0.00080224, 0, 0, 0, 0
0.00080225, 0, 1, 0, 0
0.00080234, 1, 1, 0, 0
0.00080243, 0, 0, 0, 0
0.00080253, 1, 0, 0, 0
0.00080261, 0, 0, 0, 0
0.00080262, 0, 1, 0, 0
0.00080271, 1, 1, 0, 0
0.00080280, 0, 0, 0, 0
0.00080290, 1, 0, 0, 0
0.00080298, 0, 0, 0, 0
0.00080299, 0, 1, 0, 0
0.00080308, 1, 1, 0, 0
0.00080317, 0, 0, 0, 0
0.00080327, 1, 0, 0, 0
0.00080335, 0, 0, 0, 0
0.00080336, 0, 1, 0, 0
0.00080345, 1, 1, 0, 0
0.00080354, 0, 1, 0, 0
0.00080363, 1, 1, 0, 0
0.00080372, 0, 0, 0, 0
0.00080382, 1, 0, 0, 0
0.00080391, 0, 1, 0, 0
0.00080400, 1, 1, 0, 0
0.00080409, 0, 1, 0, 0
0.00080410, 0, 0, 0, 0
0.00080419, 1, 0, 0, 0
0.00080428, 0, 1, 0, 0
0.00080437, 1, 1, 0, 0
0.00080446, 0, 0, 0, 0
0.00080456, 1, 0, 0, 0
0.00080465, 0, 1, 0, 0
0.00080474, 1, 1, 0, 0
0.00080483, 0, 1, 0, 0
0.00080484, 0, 0, 0, 0
0.00080493, 1, 0, 0, 0
0.00080502, 0, 0, 0, 0
0.00080511, 1, 0, 0, 0
0.00080521, 0, 0, 0, 0
0.00080530, 1, 0, 0, 0
0.00080539, 0, 0, 0, 0
0.00080540, 0, 1, 0, 0
0.00080549, 1, 1, 0, 0
0.00080558, 0, 0, 0, 0
0.00080567, 1, 0, 0, 0
0.00080576, 0, 0, 0, 0
0.00080577, 0, 1, 0, 0
0.00080586, 1, 1, 0, 0
0.00080595, 0, 1, 0, 0
0.00080604, 1, 1, 0, 0
0.00080613, 0, 0, 0, 0
0.00080623, 1, 0, 0, 0
0.00080632, 0, 1, 0, 0
0.00080641, 1, 1, 0, 0
0.00080650, 0, 1, 0, 0
0.00080660, 1, 1, 0, 0
0.00080669, 0, 1, 0, 0
0.00080678, 1, 1, 0, 0
0.00080687, 0, 1, 0, 0
0.00080697, 1, 1, 0, 0
0.00080706, 0, 0, 0, 0
0.00080715, 1, 0, 0, 0
0.00080724, 0, 0, 0, 0
0.00080734, 1, 0, 0, 0
0.00080743, 0, 1, 0, 0
